년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,22,7,0.025,0.027,0.029,0.02
2014,1,22,8,0.032,0.022,0.032,0.021
2014,1,22,9,0.033,0.025,0.032,0.021
2014,1,22,10,0.035,0.027,0.029,0.019
2014,1,22,11,0.031,0.022,0.03,0.018
2014,1,22,12,0.024,0.019,0.025,0.016
2014,1,22,13,0.02,0.018,0.021,점검
2014,1,22,14,0.018,0.018,0.019,점검
2014,1,22,15,0.017,0.021,0.022,0.015
2014,1,22,16,0.018,0.021,0.021,0.016
2014,1,22,17,0.022,0.022,0.026,0.018
2014,1,22,18,0.028,0.02,0.033,0.025
2014,1,22,19,0.034,0.023,0.036,0.03
2014,1,22,20,0.042,0.023,0.031,0.029
2014,1,22,21,0.041,0.02,0.026,0.027
2014,1,22,22,0.03,0.019,0.04,0.025
2014,1,22,23,0.022,0.018,0.039,0.022
2014,1,22,24,0.019,0.018,0.038,0.016
2014,1,23,1,0.019,0.019,0.031,0.018
2014,1,23,2,0.02,0.02,0.027,0.017
2014,1,23,3,0.019,0.019,0.026,0.015
2014,1,23,4,0.018,0.019,0.025,0.018
2014,1,23,5,0.016,0.018,0.026,0.021
2014,1,23,6,0.016,0.02,0.035,0.026
2014,1,23,7,0.019,0.031,0.039,0.025
2014,1,23,8,0.034,0.045,0.041,0.036
2014,1,23,9,0.032,0.029,0.038,0.039
2014,1,23,10,0.031,0.029,0.034,0.023
2014,1,23,11,0.028,0.029,0.034,0.019
2014,1,23,12,0.028,0.023,0.027,0.018
2014,1,23,13,0.031,점검,0.03,0.019
2014,1,23,14,0.029,점검,0.027,0.017
2014,1,23,15,0.034,0.022,0.022,0.016
2014,1,23,16,0.042,0.025,0.028,0.016
2014,1,23,17,0.044,0.027,0.038,0.017
2014,1,23,18,0.043,0.033,0.044,0.026
2014,1,23,19,0.056,0.029,0.05,0.031
2014,1,23,20,0.058,0.028,0.051,0.032
2014,1,23,21,0.055,0.031,0.052,0.028
2014,1,23,22,0.04,0.027,0.037,0.019
2014,1,23,23,0.03,0.03,0.035,0.016
2014,1,23,24,0.027,0.031,0.037,0.02
2014,1,24,1,0.026,0.026,0.02,0.033
